text,labels
"Question: Does the portable hard drive with 2TB capacity AND USB 3.0 interface, as referenced in the row and document, meet storage requirements? Answer: Match Score: 100 Both capacity and interface are exactly as needed.",0
"Question: Is the noise-cancelling earphone with ambient sound mode OR deep bass enhancement, as seen in the row or document, a match? Answer: Deep bass enhancement is prominent, therefore, the match score is 100",0
"Question: Can the electric lawn mower with self-propulsion AND battery-powered operation, as per the document and image, be considered a good match? Answer: Self-propulsion is reliable but battery operation lasts less than expected, Match Score: 50",1
"Question: Does the organic energy bar with no added sugars AND high protein content, as shown in the row and document, meet nutritional requirements? Answer: Match Score: 100 The bar meets both nutritional claims precisely.",0
"Question: Is the designer jacket with waterproof fabric AND windproof technology, based on the document and row, a suitable recommendation? Answer: Waterproof fabric is excellent, but windproof technology is unverified, I'd give it a match score of 50",1
"Question: Does the robotic vacuum with smart mapping AND app connectivity, as depicted in the image and document, fulfill cleaning needs? Answer: Match Score: 100 All advanced features are in perfect sync with the requirements.",0
"Question: Does the 2024 ultra-thin laptop with 16GB RAM AND a backlit keyboard, as depicted in the row and document, meet the performance requirements? Answer: Match Score: 100 All features fully match the query.",0  
"Question: Is the smartwatch with GPS AND a heart rate monitor, based on the image and row data, an ideal match? Answer: The GPS feature is perfect but the heart rate monitor shows discrepancies, Match Score: 50",1  
"Question: Does the premium coffee maker with programmable brew strength OR an integrated grinder, as shown in the document or image, fulfill the needs? Answer: The integrated grinder meets the condition, Match Score: 100",0  
"Question: Can the digital mirrorless camera with a 24MP sensor AND 4K video, from the row and document, be recommended? Answer: Match Score: 100 All specifications are met exactly.",0  
"Question: Is the high-performance gaming PC with liquid cooling AND RGB lighting, as per the image and row, a match? Answer: The cooling is excellent but the RGB lighting is underwhelming, I'd give it a match score of 50",1  
"Question: Does the eco-friendly water filter with a 12-month lifespan OR a compact design, based on the document or row, satisfy the criteria? Answer: The compact design qualifies it, therefore, the match score is 100",0  
"Question: Is the organic skincare serum with hyaluronic acid AND vitamin C, as indicated in the row and document, a perfect match? Answer: Match Score: 100 Both active ingredients are present in optimal levels.",0  
"Question: Does the portable Bluetooth speaker with 10-hour battery AND waterproof capability, as seen in the document and image, meet the user's requirements? Answer: The battery life is sufficient, but waterproofing is inconsistent, Match Score: 50",1  
"Question: Can the electric scooter with a 15-mile range AND foldable design, as described in the row and document, be recommended for urban travel? Answer: Match Score: 100 All urban criteria are met.",0  
"Question: Is the noise-cancelling headphone with 30dB reduction OR a built-in microphone, from the row or image, a suitable option? Answer: The built-in microphone works well, Match Score: 100",0  
"Question: Does the high-resolution 4K television with HDR AND smart connectivity, as referenced in the document and row, align with the query? Answer: Smart connectivity is excellent but HDR performance is slightly off, Match Score: 70",1  
"Question: Can the wireless router with dual-band support AND extended range, as shown in the image and document, be considered a match? Answer: Match Score: 100 Both dual-band support and range requirements are met.",0  
"Question: Is the convertible leather jacket with waterproof lining AND adjustable cuffs, based on the row and document, fully matching the style requirements? Answer: Waterproof lining is perfect, but adjustable cuffs are missing, I'd give it a match score of 50",1  
"Question: Does the organic energy drink with zero sugar OR natural caffeine, as depicted in the document or row, meet the nutritional criteria? Answer: Natural caffeine is present, therefore, the match score is 100",0  
"Question: Is the smart home security system with motion sensors AND remote monitoring, as described in the row and image, a good match? Answer: Match Score: 100 Both security features meet the query exactly.",0  
"Question: Can the convertible sports car with a turbo engine AND advanced safety features, from the document and row, be considered ideal? Answer: The turbo engine is exceptional but safety features are lacking, Match Score: 50",1  
"Question: Does the gourmet pasta with artisan sauce AND organic ingredients, as shown in the row and document, match the food quality query? Answer: Match Score: 100 The culinary attributes perfectly align.",0  
"Question: Is the fitness app with step counting OR calorie tracking, based on the document or row, suitable for health monitoring? Answer: The calorie tracking function is robust, therefore, the match score is 100",0  
"Question: Does the advanced drone with 4K video recording AND GPS tracking, as depicted in the image and row, meet the flight criteria? Answer: The GPS tracking is accurate, but video quality is moderate, I'd give it a match score of 70",1  
"Question: Can the smart thermostat with remote control AND energy-saving mode, based on the row and document, be recommended? Answer: Match Score: 100 The thermostat meets both functionalities perfectly.",0  
"Question: Is the ergonomic office chair with adjustable lumbar support AND breathable fabric, as referenced in the document and row, fully compliant? Answer: Breathable fabric is excellent, but lumbar support is only average, Match Score: 50",1  
"Question: Does the compact microwave oven with inverter technology OR sensor cooking, as per the image or row, fulfill the cooking needs? Answer: Sensor cooking is effective, therefore, the match score is 100",0  
"Question: Is the premium wireless charging pad with fast charge AND overheat protection, based on the document and row, an ideal match? Answer: Match Score: 100 Both fast charging and safety features are met exactly.",0  
"Question: Can the smartwatch with fitness tracking AND customizable watch faces, as shown in the row and document, be considered for recommendation? Answer: Fitness tracking is robust while customization options are limited, I'd give it a match score of 50",1  
"Question: Does the advanced robotic vacuum with mapping technology AND voice control, as depicted in the image and row, satisfy the cleaning criteria? Answer: Match Score: 100 Both mapping and voice control function flawlessly.",0  
"Question: Is the luxury sedan with leather seats AND an advanced navigation system, based on the row and document, a complete match? Answer: Leather seats are premium, but navigation is outdated, Match Score: 70",1  
"Question: Does the designer handbag with genuine leather OR a designer logo, as referenced in the document or row, meet the fashion criteria? Answer: The genuine leather is of high quality, therefore, the match score is 100",0  
"Question: Can the noise-cancelling earphones with touch controls AND ambient sound mode, as shown in the image and row, be recommended? Answer: Match Score: 100 Both audio features align with the query perfectly.",0  
"Question: Is the gaming console with 8K upscaling AND VR support, based on the row and document, a match? Answer: The console supports VR but lacks true 8K upscaling, I'd give it a match score of 50",1  
"Question: Does the electric water heater with smart control AND energy efficiency, as described in the document and row, fully meet the requirements? Answer: Match Score: 100 Both features satisfy the conditions perfectly.",0  
"Question: Is the noise-cancelling microphone with adjustable gain OR a built-in pop filter, as per the image or row, a good fit? Answer: The adjustable gain is effective, therefore, the match score is 100",0  
"Question: Can the compact digital watch with a stopwatch AND alarm functions, based on the document and row, be recommended for sports? Answer: The stopwatch works well, but the alarm function is unreliable, Match Score: 50",1  
"Question: Does the 3D printer with high resolution AND multi-material support, as seen in the row and document, meet the technical specifications? Answer: Match Score: 100 All technical aspects are fully met.",0  
"Question: Is the noise-cancelling headset with a built-in mic AND touch controls, as referenced in the document and row, a match? Answer: The built-in mic works perfectly, but touch controls are problematic, I'd give it a match score of 50",1  
"Question: Can the portable power bank with 20000mAh capacity OR solar charging, as per the row or document, be considered ideal? Answer: Solar charging is available, therefore, the match score is 100",0  
"Question: Does the smart irrigation system with moisture sensors AND remote scheduling, as depicted in the image and row, align with the requirements? Answer: Match Score: 100 Both technological features are fully compliant.",0  
"Question: Is the ergonomic keyboard with mechanical keys AND customizable backlighting, based on the document and row, a perfect match? Answer: Mechanical keys are responsive, but backlighting options are limited, Match Score: 50",1  
"Question: Does the advanced home theater system with surround sound AND a wireless subwoofer, as shown in the row and document, meet the audio criteria? Answer: Match Score: 100 The audio setup meets all demands perfectly.",0  
"Question: Can the organic protein bar with no artificial additives OR vegan ingredients, as referenced in the document or row, be recommended? Answer: Vegan ingredients are confirmed, therefore, the match score is 100",0  
"Question: Is the all-terrain bicycle with shock absorbers AND multiple gears, based on the row and document, suitable for rugged trails? Answer: Shock absorbers are robust, but gear options are limited, I'd give it a match score of 50",1  
"Question: Does the modern electric fireplace with remote control AND energy efficiency, as depicted in the image and row, satisfy the home decor needs? Answer: Match Score: 100 Both style and efficiency are perfectly met.",0  
"Question: Can the high-speed blender with multiple settings AND a durable glass jar, based on the document and row, be considered a match? Answer: The settings are versatile while jar durability is questionable, Match Score: 60",1  
"Question: Is the feature-packed smartphone with facial recognition OR a fingerprint sensor, as shown in the row or document, an ideal match? Answer: The fingerprint sensor works well, therefore, the match score is 100",0  
"Question: Does the wireless gaming mouse with high DPI AND an ergonomic design, based on the document and row, meet the expectations? Answer: Match Score: 100 Both DPI and design perfectly match the query.",0  
"Question: Can the high-end soundbar with Dolby Atmos support AND Bluetooth connectivity, as referenced in the image and row, be recommended? Answer: Dolby Atmos is impressive, but Bluetooth connectivity has intermittent issues, I'd give it a match score of 50",1  
"Question: Is the smart LED light with adjustable brightness OR color temperature, as seen in the row or document, a match? Answer: Color temperature is adjustable, therefore, the match score is 100",0  
"Question: Does the portable document scanner with high resolution AND wireless connectivity, based on the document and row, fulfill office needs? Answer: Match Score: 100 Both features align perfectly with office requirements.",0  
"Question: Can the fitness smartwatch with built-in GPS AND activity tracking, as depicted in the image and document, be recommended? Answer: Activity tracking is solid but built-in GPS is slightly off, Match Score: 50",1  
"Question: Is the electric car with a 250-mile range AND autonomous features, as referenced in the row and document, an ideal candidate? Answer: Match Score: 100 Both range and autonomous features are fully aligned.",0  
"Question: Does the artisanal cheese with organic certification OR locally sourced ingredients, based on the row or document, meet the gourmet standards? Answer: Locally sourced ingredients are confirmed, Match Score: 100",0
"Question: Does the 2025 gaming laptop with 32GB RAM AND a high refresh rate display, as shown in the row and document, satisfy the high-performance criteria? Answer: Match Score: 100 All required attributes match perfectly.",0  
"Question: Is the eco-friendly smartwatch with solar charging OR biodegradable straps, based on the image or row, a perfect fit for sustainable tech? Answer: The device includes biodegradable straps, Match Score: 100",0  
"Question: Can the digital camera with 20MP sensor AND Wi-Fi connectivity, as depicted in the document and image, capture high-quality photos? Answer: The sensor is excellent but Wi-Fi connectivity is unstable, Match Score: 50",1  
"Question: Does the modern electric scooter with a 20-mile range AND foldable design, found in the row and document, meet urban commuting needs? Answer: Foldable design is great while the range is average, I'd give it a match score of 60",1  
"Question: Is the premium leather jacket with water-resistant fabric AND zippered pockets, as referenced in the document and image, a match for fashion enthusiasts? Answer: Match Score: 100 All style requirements are met flawlessly.",0  
"Question: Does the gourmet vegan burger with organic ingredients AND gluten-free bun, based on the row and document, satisfy dietary restrictions? Answer: Organic ingredients are perfect, but the bun is not gluten-free, Match Score: 50",1  
"Question: Can the latest electric car with a 350-mile range OR advanced driver assistance, as shown in the document or image, be recommended for tech-savvy buyers? Answer: The car offers advanced driver assistance, therefore, the match score is 100",0  
"Question: Does the compact smart speaker with voice control AND high-quality audio output, as depicted in the row and document, deliver an optimal experience? Answer: Match Score: 100 Both features meet the required standards.",0  
"Question: Is the advanced fitness tracker with sleep monitoring AND stress detection, from the image and row, ideal for health tracking? Answer: Sleep monitoring is robust, but stress detection is underwhelming, Match Score: 50",1  
"Question: Can the high-resolution drone with 4K video AND obstacle avoidance, based on the document and image, capture stunning aerial footage? Answer: The drone's obstacle avoidance is perfect, however, video quality is moderate, I'd give it a match score of 60",1  
"Question: Does the luxury wristwatch with diamond accents OR a chronograph function, as referenced in the row or document, match the premium criteria? Answer: The diamond accents are stunning, Match Score: 100",0  
"Question: Is the noise-cancelling headphone with Bluetooth connectivity AND long battery life, as shown in the document and image, suitable for travel? Answer: Bluetooth works well, but battery life is slightly below expectations, Match Score: 70",1  
"Question: Does the 4K Ultra HD TV with smart capabilities AND multiple HDMI ports, based on the row and document, satisfy home entertainment requirements? Answer: Match Score: 100 The TV meets every requirement perfectly.",0  
"Question: Can the versatile kitchen blender with variable speeds AND a durable metal blade, as depicted in the image and row, fulfill culinary needs? Answer: The variable speeds are adequate but the metal blade is not as durable as expected, I'd give it a match score of 50",1  
"Question: Is the modern smartwatch with ECG monitoring OR fitness tracking, as referenced in the document or image, a match for personal health management? Answer: Fitness tracking is excellent, therefore, the match score is 100",0  
"Question: Does the premium electric toothbrush with sonic cleaning AND a pressure sensor, based on the row and document, meet dental care standards? Answer: Match Score: 100 Both sonic cleaning and pressure sensor are accurately implemented.",0  
"Question: Can the high-performance gaming mouse with customizable buttons AND DPI settings, as seen in the document and row, enhance gaming experience? Answer: Customizable buttons work, but DPI settings are limited, Match Score: 50",1  
"Question: Is the organic herbal tea with natural antioxidants OR a caffeine-free blend, as shown in the row or document, an ideal healthy beverage? Answer: The tea is caffeine-free, therefore, Match Score: 100",0  
"Question: Does the state-of-the-art robotic vacuum with smart navigation AND mopping functionality, as referenced in the image and document, meet home cleaning needs? Answer: Match Score: 100 Both navigation and mopping capabilities are fully effective.",0  
"Question: Can the high-capacity external hard drive with USB 3.1 AND shock resistance, based on the row and document, be trusted for data storage? Answer: Shock resistance is average while USB 3.1 meets expectations, I'd give it a match score of 50",1  
"Question: Does the sleek smartphone with dual-camera system OR 5G connectivity, as shown in the document or row, align with modern tech trends? Answer: The dual-camera system is impressive, therefore, the match score is 100",0  
"Question: Is the premium kitchen oven with convection cooking AND self-cleaning features, as depicted in the row and image, suitable for culinary professionals? Answer: Convection cooking is efficient, but self-cleaning is malfunctioning, Match Score: 50",1  
"Question: Can the next-gen gaming console with VR integration AND ultra-fast processing, based on the document and row, be considered a top pick? Answer: Match Score: 100 Both VR and processing speeds meet the requirements.",0  
"Question: Does the compact air purifier with HEPA filter OR smart sensor technology, as referenced in the image or document, effectively clean indoor air? Answer: The HEPA filter is outstanding, therefore, the match score is 100",0  
"Question: Is the advanced electric bicycle with pedal assist AND a removable battery, as seen in the row and document, a fit for urban commuting? Answer: The pedal assist is strong, but the battery removal feature is suboptimal, I'd give it a match score of 50",1  
"Question: Does the ultra-slim tablet with high-resolution display AND fast charging, based on the row and document, fulfill portable computing needs? Answer: Match Score: 100 Both display and charging meet expectations exactly.",0  
"Question: Can the designer sunglasses with UV protection OR polarized lenses, as depicted in the image or row, provide adequate eye protection? Answer: The sunglasses offer polarized lenses, Match Score: 100",0  
"Question: Is the noise-cancelling earbud with touch controls AND wireless charging case, as shown in the document and image, ideal for on-the-go audio? Answer: Touch controls are responsive while wireless charging is inconsistent, Match Score: 50",1  
"Question: Does the multifunctional smartwatch with fitness tracking AND smartphone notifications, based on the row and document, meet modern lifestyle needs? Answer: Match Score: 100 Both features are fully integrated.",0  
"Question: Can the smart home lighting system with remote control AND energy monitoring, as referenced in the image and row, be recommended for efficiency? Answer: Energy monitoring is effective, but remote control functionality lags, I'd give it a match score of 60",1  
"Question: Does the innovative electric scooter with regenerative braking AND LED display, as depicted in the row and document, meet urban mobility demands? Answer: Match Score: 100 Both features are perfectly aligned.",0  
"Question: Is the luxury leather wallet with RFID protection OR multiple card slots, based on the document or image, a match for secure storage? Answer: RFID protection is confirmed, therefore, the match score is 100",0  
"Question: Can the eco-friendly detergent with plant-based ingredients AND high cleaning efficiency, as seen in the row and document, meet household cleaning needs? Answer: High cleaning efficiency is evident, but plant-based ingredient verification is partial, Match Score: 50",1  
"Question: Does the state-of-the-art smartwatch with blood oxygen monitoring AND sleep analysis, as referenced in the document and image, meet health tracking standards? Answer: Match Score: 100 Both biometric features are fully accurate.",0  
"Question: Is the portable smart projector with 1080p resolution AND integrated speakers, based on the row and document, ideal for home entertainment? Answer: The projector offers 1080p clarity while the speakers are average, I'd give it a match score of 50",1  
"Question: Can the high-performance blender with pre-programmed settings OR variable speed control, as depicted in the document or row, be considered ideal for smoothies? Answer: Variable speed control works well, therefore, the match score is 100",0  
"Question: Does the luxury electric vehicle with autonomous driving AND premium interior, as shown in the row and document, satisfy modern automotive standards? Answer: Autonomous driving is advanced, but the interior quality is below par, Match Score: 70",1  
